Paket,Sequenz,Delta (ms),Jitter (ms),Versatz,Bandbreite
286,58,19.396135999999387,5.558554690378602,10.609429000000091,89.76
287,59,20.452206999998452,5.239407959729843,10.157222000001639,88
290,60,19.390997999998945,4.950007587246794,10.766224000002694,89.76
293,61,20.434049999999843,4.66776023804386,10.332174000002851,88
294,62,20.341879000003246,4.397392660666322,9.990294999999605,89.76
297,63,19.363948999998684,4.1623088068747585,10.626346000000922,88
300,64,20.65243499999997,3.942941693945084,9.973911000000953,89.76
302,65,19.338026999997965,3.737881150573643,10.635884000002989,88
305,66,20.404484000002412,3.5295438286629413,10.231400000000576,89.76
307,67,19.34124299999894,3.350119651871574,10.890157000001636,89.76
308,68,20.465049999998882,3.1698027986295307,10.425107000002754,89.76
310,69,20.44785100000081,2.9996808112152356,9.977256000001944,88
313,70,19.456921000000875,2.8461431980142287,10.520335000001069,89.76
315,71,20.37572999999975,2.6917423731383234,10.14460500000132,88
317,72,19.42352100000062,2.5595384123171394,10.721084000000701,89.76
319,73,20.391897999998037,2.4240608865471955,10.329186000002665,88
321,74,19.46252699999968,2.3061491436380157,10.866659000002983,89.76
324,75,20.38729500000045,2.1862207596606678,10.479364000002533,88
326,76,20.333434000000125,2.0704215871818836,10.145930000002409,89.76
328,77,19.369330000001355,1.9804371129829312,10.776600000001054,88
331,78,20.519851000000926,1.889150480921556,10.256749000000127,89.76
333,79,19.421096999998554,1.807260013364049,10.835652000001573,89.76
335,80,20.382743999998638,1.7182277625287108,10.452908000002935,89.76
337,81,20.438132000002952,1.638221777370851,10.014775999999983,88
339,82,19.41852899999867,1.5721748537852558,10.596247000001313,89.76
341,83,20.536772999999812,1.5074622379236655,10.0594740000015,88
344,84,19.51329600000099,1.4436648480533745,10.54617800000051,89.76
347,85,20.282297999998264,1.37107942004993,10.263880000002246,88
349,86,19.579838000001473,1.3116470812967174,10.684042000000773,89.76
350,87,20.433686000000307,1.2567745137156918,10.250356000000465,88
352,88,19.480818,1.2106749816084612,10.769538000000466,89.76
355,89,20.364724999999453,1.157803107757898,10.404813000001013,88
357,90,20.337588999998843,1.106539726022957,10.06722400000217,89.76
358,91,19.37156600000162,1.0766581181464208,10.695658000000549,89.76
361,92,20.283078000000387,1.0270593607622938,10.412580000000162,89.76
363,93,20.327189999999973,0.9833175257146487,10.085390000000189,88
365,94,19.43189699999857,0.9573666178575725,10.653493000001617,89.76
367,95,20.319808000000194,0.9175192042414864,10.333685000001424,88
368,96,19.46860899999956,0.893386191476421,10.865076000001864,89.76
370,97,20.38490499999898,0.861606117009081,10.480171000002883,89.76
372,98,20.425673000001552,0.8343602971961104,10.054498000001331,89.76
375,99,19.457934999998542,0.8160918411214446,10.596563000002789,89.76
378,100,20.431554000002507,0.792058226051511,10.165009000000282,88
379,101,19.32726399999956,0.7846005869233191,10.837745000000723,89.76
382,102,20.416391999999178,0.7615875502405602,10.421353000001545,88
385,103,20.338576000001922,0.7351493283506454,10.082776999999624,88
386,104,19.319696999998996,0.7317214328287928,10.763080000000627,89.76
389,105,20.430178999999043,0.7128750307769334,10.332901000001584,88
391,106,19.41471399999864,0.7049007163534601,10.918187000002945,89.76
