Delta (ms),Jitter (ms),Skew(ms),IP BW (kbps)
"20,07","0,74","0,84","56,62"
"11,09","1,25","9,75","57,82"
"28,28","1,69","1,47","58,07"
"20,60","1,62","0,86","57,17"
"19,94","1,53","0,92","58,34"
"10,12","2,05","10,80","58,48"
"30,59","2,58","0,21","57,41"
"18,70","2,50","1,51","58,52"
"20,95","2,40","0,56","57,47"
"20,80","2,30","-0,24","57,62"
"29,89","2,78","-10,13","57,67"
"9,71","3,25","0,16","58,82"
"19,91","3,05","0,25","57,71"
"19,81","2,87","0,44","57,85"
"19,95","2,69","0,49","57,96"
"29,59","3,13","-9,10","58,03"
"20,46","2,96","-9,57","58,24"
"9,87","3,41","0,57","58,29"
"20,32","3,21","0,24","58,20"
"29,59","3,61","-9,35","58,22"
"20,13","3,40","-9,48","58,21"
"9,55","3,84","0,97","59,33"
"20,44","3,62","0,54","58,20"
"18,80","3,47","1,73","59,30"
"30,74","3,93","-9,00","58,15"
"10,24","4,29","0,76","58,25"
"19,05","4,08","1,71","59,42"
"20,85","3,88","0,86","58,20"
"31,22","4,34","-10,36","58,30"
"8,07","4,81","1,57","59,54"
"21,05","4,58","0,52","58,45"
"20,14","4,30","0,38","59,60"
"29,43","4,62","-9,06","58,42"
"10,42","4,93","0,52","58,45"
"19,64","4,65","0,88","58,60"
"19,45","4,39","1,43","58,68"
"30,09","4,75","-8,67","58,76"
"10,16","5,06","1,18","58,94"
"20,13","4,76","1,04","60,15"
"20,90","4,52","0,14","59,22"
"29,29","4,81","-9,14","59,19"
"10,40","5,11","0,46","59,24"
"19,32","4,84","1,14","60,38"
"19,97","4,53","1,17","60,36"
"31,27","4,96","-10,11","59,10"
"8,94","5,34","0,95","60,22"
"20,30","5,02","0,65","60,07"
"20,60","4,75","0,05","58,72"
"19,27","4,50","0,78","58,59"
"20,14","4,22","0,63","58,46"
"19,84","3,97","0,79","58,34"
"20,13","3,73","0,66","58,25"
"19,39","3,53","1,27","58,12"
"19,56","3,34","1,70","59,30"
"21,08","3,20","0,62","58,10"
"18,93","3,07","1,69","58,06"
"20,89","2,93","0,81","59,29"
"19,66","2,77","1,15","58,27"
"20,50","2,63","0,65","59,49"
"19,95","2,47","0,70","59,58"
"20,29","2,33","0,41","59,58"
"19,14","2,24","1,27","59,58"
"20,72","2,14","0,55","59,61"
"19,71","2,03","0,85","59,66"
"20,59","1,94","0,26","58,45"
"19,23","1,86","1,03","59,62"
"19,71","1,77","1,32","59,55"
"20,01","1,66","1,30","59,50"
"20,07","1,56","1,24","59,50"
"20,63","1,50","0,61","59,54"
"20,34","1,43","0,27","59,54"
"19,78","1,35","0,49","58,50"
"20,16","1,28","0,33","58,59"
"19,07","1,25","1,27","58,66"
"20,16","1,19","1,11","59,82"
"20,03","1,11","1,08","59,89"
"20,17","1,06","0,90","58,62"
"19,85","1,00","1,05","59,86"
"20,16","0,95","0,88","59,86"
"19,66","0,91","1,23","58,50"
"20,15","0,86","1,08","59,66"
"19,81","0,82","1,27","59,59"
"20,38","0,79","0,89","59,57"
"19,44","0,78","1,45","59,63"
"19,59","0,75","1,86","59,62"
"21,01","0,77","0,85","58,34"
"20,79","0,77","0,06","59,50"
"18,54","0,81","1,52","59,50"
"20,86","0,82","0,66","58,29"
"21,72","0,87","-1,06","58,34"
"17,96","0,95","0,98","59,53"
"19,63","0,91","1,35","59,53"
"20,15","0,86","1,20","59,54"
"19,70","0,83","1,50","59,55"
"20,87","0,83","0,63","59,55"
"20,43","0,81","0,20","58,38"
"19,40","0,79","0,80","59,57"
"19,53","0,77","1,26","59,66"
"20,49","0,75","0,78","59,67"
"20,26","0,72","0,52","58,51"
"19,24","0,73","1,27","59,51"
"19,84","0,69","1,43","59,39"
"20,17","0,66","1,27","58,28"
"20,29","0,63","0,98","58,15"
"19,64","0,62","1,33","59,21"
"20,29","0,60","1,05","58,05"
"19,81","0,57","1,24","59,24"
"19,74","0,55","1,50","59,15"
"20,77","0,57","0,73","59,05"
"18,90","0,60","1,83","58,90"
"20,91","0,62","0,92","58,78"
"19,99","0,58","0,93","57,50"
"19,47","0,58","1,46","58,56"
"20,11","0,55","1,35","58,39"
"19,74","0,53","1,62","58,19"
"20,25","0,51","1,36","58,01"
"19,68","0,50","1,69","57,86"
"20,80","0,52","0,89","56,66"
"20,36","0,51","0,53","56,54"
"19,77","0,49","0,77","57,62"
"19,93","0,47","0,83","57,69"
"20,12","0,44","0,71","57,74"
"19,51","0,45","1,21","57,68"
"19,92","0,42","1,29","57,66"
"20,32","0,42","0,97","56,57"
"20,90","0,45","0,07","56,56"
"19,58","0,45","0,49","56,57"
"19,31","0,46","1,18","57,71"
"20,76","0,48","0,42","56,43"
"24,04","0,70","-3,62","56,39"
"15,51","0,94","0,87","56,34"
"19,87","0,89","1,00","56,30"
"20,03","0,83","0,96","57,56"
"19,83","0,79","1,14","56,44"
"20,79","0,79","0,34","56,46"
"19,19","0,79","1,16","57,70"
"19,60","0,77","1,56","57,73"
"10,23","1,33","11,33","57,78"
"30,82","1,93","0,51","56,63"
"18,90","1,87","1,61","57,80"
"20,61","1,79","1,00","57,74"
"10,43","2,28","10,57","57,67"
"28,99","2,70","1,59","57,66"
"30,66","3,20","-9,07","56,48"
"10,32","3,60","0,61","56,48"
"20,14","3,39","0,47","57,62"
"20,72","3,22","-0,25","56,44"
"30,01","3,64","-10,26","56,43"
"18,95","3,48","-9,21","56,41"
"10,28","3,87","0,51","56,50"
"20,22","3,64","0,28","56,72"
"29,43","4,01","-9,15","56,88"
"10,23","4,37","0,63","56,91"
"19,22","4,14","1,41","58,17"
"19,79","3,90","1,61","58,27"
"30,31","4,30","-8,70","57,20"
"20,05","4,03","-8,74","57,16"
"10,08","4,40","1,17","57,10"
"20,71","4,17","0,47","57,17"
"29,28","4,49","-8,82","57,22"
"19,43","4,24","-8,25","57,23"
"10,11","4,60","1,65","58,34"
"21,13","4,38","0,52","57,35"
"19,19","4,16","1,33","57,47"
"30,26","4,54","-8,93","57,69"
"11,46","4,79","-0,39","57,86"
"18,87","4,56","0,74","58,04"
"20,00","4,27","0,74","58,13"
"30,14","4,64","-9,41","58,21"
"9,46","5,01","1,14","59,36"
"20,12","4,70","1,02","59,46"
"20,68","4,45","0,33","58,17"
"30,19","4,81","-9,86","58,13"
"9,48","5,17","0,65","58,10"
"20,32","4,87","0,34","58,11"
"19,86","4,57","0,48","59,31"
"29,65","4,89","-9,17","58,19"
"9,01","5,27","1,83","59,36"
"20,86","4,99","0,97","59,42"
"20,41","4,71","0,55","59,50"
"29,60","5,01","-9,05","58,51"
"10,49","5,29","0,46","58,62"
"19,69","4,98","0,77","58,54"
"19,74","4,69","1,03","58,49"
"30,25","5,04","-9,22","58,44"
"9,20","5,40","1,58","59,68"
"20,67","5,10","0,91","58,55"
"20,02","4,78","0,89","58,54"
"29,73","5,09","-8,84","58,54"
"11,13","5,33","0,03","58,61"
"19,27","5,04","0,76","58,61"
"19,68","4,75","1,08","58,69"
"31,06","5,14","-9,98","58,73"
"9,11","5,50","0,91","59,93"
"19,58","5,18","1,33","59,95"
"20,03","4,86","1,30","60,02"
"30,66","5,22","-9,35","58,84"
"9,39","5,56","1,26","60,06"
"20,60","5,25","0,65","60,06"
"20,02","4,92","0,63","60,13"
"29,98","5,24","-9,35","58,94"
"9,50","5,57","1,16","60,09"
"20,86","5,27","0,30","58,94"
"19,00","5,01","1,30","58,81"
"31,07","5,39","-9,78","58,77"
"10,31","5,65","-0,09","59,87"
"18,79","5,38","1,12","59,84"
"19,53","5,07","1,59","59,78"
"29,98","5,38","-8,38","58,63"
"10,28","5,65","1,34","59,77"
